,title,price,link
0,"Dell 3180 Chromebook 11.6 inches HD screen, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS / Windows 10","Rs. 8,999",//www.daraz.pk/products/4gb-4gb-16gb-ssd-hdmi-wifi-os-10-i434350899.html
1,"Hp Chromebook 11 G6 EE | 4GB RAM DDR4 | 16GB SSD EMMC | Playstore supported | 11.6"" screen","Rs. 8,499",//www.daraz.pk/products/hp-chromebook-11-g6-ee-4gb-ram-ddr4-16gb-ssd-emmc-playstore-supported-116-screen-i467908941.html
2,Dell Chromebook 3189 | Touch Screen | 32GB Storage | 4GB RAM | 360 Rotatable | 11.6″ HD Display | Playstore Supported | - Daraz Like New Laptops,"Rs. 12,498",//www.daraz.pk/products/dell-chromebook-3189-touch-screen-32gb-storage-4gb-ram-360-rotatable-116-hd-display-playstore-supported-daraz-like-new-laptops-i645876561.html
3,Acer | C740 | 256GB Storage | 4GB RAM | Windows 10 / 11.6″ Display | Play Store Supported | Android Apps Supported | Chromebook - FREE LAPTOP BAG,"Rs. 18,999",//www.daraz.pk/products/c740-4gb-air-4gb-10256-i478461837.html
4,Hp Chromebook 11 G4 - celeron processor - 4GB RAM - 16GB SSD,"Rs. 8,000",//www.daraz.pk/products/hp-chromebook-11-g4-celeron-processor-4gb-ram-16gb-ssd-i501952152.html
5,"Dell Chromebook 3100 | 4GB RAM | 16GB SSD EMMC | PLAYSTORE SUPPORTED | 11.6"" SCREEN SIZE","Rs. 7,504",//www.daraz.pk/products/dell-chromebook-3100-4gb-ram-16gb-ssd-emmc-playstore-supported-116-screen-size-i670786259.html
6,"Acer Chromebook CB5-311-P (13.3-inch Full HD Display, 4GB Ram , 16GB SSD) - Daraz Like New Laptops","Rs. 14,999",//www.daraz.pk/products/cb5-311-p-133-hd-4gb-16gb-ssd-i462133047.html
7,"HP EliteBook 850 G3 Ultra Book, Core i7 6th generation, 8GB DDR Ram, 256GB Solid State Drive SSD, 15.6"" Led Display, Intel HD Graphics","Rs. 56,999",//www.daraz.pk/products/hp-850-g3-6th-i7-8gb-ddr-256gb-ssd-156-led-hd-i538447110.html
8,Lenovo ThinkPad X230 - Core i5 - 3rd Gen - 4 GB RAM - 250 GB - 12..5″ Windows 10 - (Free Laptop Bag) - Daraz like new laptops - USED LAPTOP,"Rs. 21,999",//www.daraz.pk/products/lenovo-thinkpad-x230-core-i5-3rd-gen-4-gb-ram-250-gb-125-windows-10-free-laptop-bag-daraz-like-new-laptops-used-laptop-i536879727.html
9,"Lenovo Chromebook 100e ,300e touch screen,hp g8,hp g4/g5 chrome book | 11.6” Display | Intel N3350 | 4GB RAM, 32GB Storage | Webcam | Play Store Support | 8hr Battery","Rs. 7,799",//www.daraz.pk/products/100e-intel-n3350-4gb-32gb-8hr-i892198111.html
10,Lenovo ThinkPad X230  Core i5 3rd Gen 4 GB RAM 250 GB 12..5″ Windows 10 (Free Laptop Bag) - Daraz like new laptops,"Rs. 20,399",//www.daraz.pk/products/lenovo-thinkpad-x230-core-i5-3rd-gen-4-gb-ram-250-gb-125-windows-10-free-laptop-bag-daraz-like-new-laptops-i403903415.html
