title,link,description,date
"Cop martyred, three terrorists killed in Kohat attack",https://www.geo.tv/latest/621092-cop-martyred-three-terrorists-killed-in-kohat-attack,"Cop martyred, three terrorists killed in Kohat attack","Aug 30, 2025"
PTI directs candidates to withdraw from Punjab by-polls,https://www.geo.tv/latest/621036-pti-directs-candidates-to-withdraw-from-punjab-by-polls,PTI directs candidates to withdraw from Punjab by-polls,"Aug 30, 2025"
Massive misuse of SOEs Act 2023 by top bosses drains billions,https://www.geo.tv/latest/621033-soes-act-2023-massively-misused-by-top-bosses-costing-billions,Massive misuse of SOEs Act 2023 by top bosses drains billions,"Aug 30, 2025"
PM Shehbaz touches down in China to attend SCO summit,https://www.geo.tv/latest/621027-sco-huddle-pm-shehbaz-sharif-jets-off-to-china-on-historic-visit,PM Shehbaz touches down in China to attend SCO summit,"Aug 30, 2025"
"Heavy traffic banned in Karachi on Rabi ul Awal 11, 12",https://www.geo.tv/latest/621018-heavy-traffic-banned-in-karachi-on-rabi-ul-awal-11-12,"Heavy traffic banned in Karachi on Rabi ul Awal 11, 12","Aug 30, 2025"
FM Dar highlights Pakistan's diplomatic reset amid bold global engagement,https://www.geo.tv/latest/620991-pakistan-enters-most-active-phase-in-diplomatic-history-dpm-dar,FM Dar highlights Pakistan's diplomatic reset amid bold global engagement,"Aug 30, 2025"
PM Shehbaz to attend 'SCO Heads of State Summit' in China,https://www.geo.tv/latest/620965-pm-shehbaz-to-attend-sco-heads-of-state-summit-in-china,PM Shehbaz to attend 'SCO Heads of State Summit' in China,"Aug 29, 2025"
"Pakistan, Armenia agree to consider 'establishing diplomatic relations'",https://www.geo.tv/latest/620943-pakistan-armenia-agree-to-consider-establishing-diplomatic-relations,"Pakistan, Armenia agree to consider 'establishing diplomatic relations'","Aug 29, 2025"
PM Shehbaz calls for formulating joint strategy to deal with climate crisis,https://www.geo.tv/latest/620941-pm-shehbaz-calls-for-formulating-joint-strategy-to-deal-with-climate-crisis,PM Shehbaz calls for formulating joint strategy to deal with climate crisis,"Aug 29, 2025"
Field Marshal vows restoration of flood-hit Kartarpur gurdwara on priority,https://www.geo.tv/latest/620939-field-marshal-vows-restoration-of-flood-hit-kartarpur-gurdwara-on-priority,Field Marshal vows restoration of flood-hit Kartarpur gurdwara on priority,"Aug 29, 2025"
European nuclear research delegation visits Pakistan: FO,https://www.geo.tv/latest/620911-european-nuclear-research-delegation-visits-pakistan-fo,European nuclear research delegation visits Pakistan: FO,"Aug 29, 2025"
President Zardari approves change in 11th NFC constitution,https://www.geo.tv/latest/621088-president-zardari-approves-change-in-11th-nfc-constitution,President Zardari approves change in 11th NFC constitution,"Aug 30, 2025"
Climate minister links flood devastation to 'entrenched elite culture' in country,https://www.geo.tv/latest/620906-climate-minister-links-flood-devastation-to-entrenched-elite-culture-in-country,Climate minister links flood devastation to 'entrenched elite culture' in country,"Aug 29, 2025"
"Sindh preparing to deal with threat of 'super flood', says irrigation minister",https://www.geo.tv/latest/620892-sindh-preparing-to-deal-with-threat-of-super-flood-says-irrigation-minister,"Sindh preparing to deal with threat of 'super flood', says irrigation minister","Aug 29, 2025"
"Hundreds of bureaucrats embezzled BISP funds, PAC told",https://www.geo.tv/latest/620895-hundreds-of-bureaucrats-embezzled-bisp-funds-pac-told,"Hundreds of bureaucrats embezzled BISP funds, PAC told","Aug 29, 2025"
Fault at Ravi headworks in India triggers flooding in Lahore,https://www.geo.tv/latest/620894-fault-at-ravi-headworks-in-india-triggers-flooding-in-lahore,Fault at Ravi headworks in India triggers flooding in Lahore,"Aug 29, 2025"
Govt decides to hand over Islamabad Airport operations to UAE,https://www.geo.tv/latest/620893-govt-decides-to-hand-over-islamabad-airport-operations-to-uae,Govt decides to hand over Islamabad Airport operations to UAE,"Aug 29, 2025"
"Karachi likely to receive light rain, drizzle in next 24 hours",https://www.geo.tv/latest/620882-karachi-likely-to-receive-light-rain-drizzle-in-next-24-hours,"Karachi likely to receive light rain, drizzle in next 24 hours","Aug 29, 2025"
Karachi warned of possible urban flooding after fresh rain alert,https://www.geo.tv/latest/620823-karachi-warned-of-possible-urban-flooding-after-fresh-rain-alert,Karachi warned of possible urban flooding after fresh rain alert,"Aug 28, 2025"
WATCH: Stranded families eye aid as Sutlej flood submerges villages in Bahawalnagar,https://www.geo.tv/latest/620810-watch-families-await-evacuation-as-sutlej-flood-submerges-villages-in-bahawalnagar,WATCH: Stranded families eye aid as Sutlej flood submerges villages in Bahawalnagar,"Aug 28, 2025"
Barrister Gohar steps down from four NA committees on Imran Khan's direction,https://www.geo.tv/latest/620802-barrister-gohar-steps-down-from-four-na-committees-on-imran-khans-direction,Barrister Gohar steps down from four NA committees on Imran Khan's direction,"Aug 28, 2025"
Charles Goodman assumes role of US Consul General in Karachi,https://www.geo.tv/latest/620790-charles-goodman-assumes-role-of-us-consul-general-in-karachi,Charles Goodman assumes role of US Consul General in Karachi,"Aug 28, 2025"
Geo News team assaulted during Faisalabad flood coverage,https://www.geo.tv/latest/621089-geo-news-team-assaulted-during-faisalabad-flood-coverage,Geo News team assaulted during Faisalabad flood coverage,"Aug 30, 2025"
PM stresses urgent need for water storage infrastructure to keep floods at bay,https://www.geo.tv/latest/620791-pm-stresses-urgent-need-for-new-water-storage-infrastructure-to-keep-floods-at-bay,PM stresses urgent need for water storage infrastructure to keep floods at bay,"Aug 28, 2025"
CM Maryam reviews situation at Ravi River as Punjab saved from India's water 'catastrophe',https://www.geo.tv/latest/620768-cm-maryam-reviews-ravi-river-situation-as-punjab-saved-from-major-catastrophe-after-indias-water-release,CM Maryam reviews situation at Ravi River as Punjab saved from India's water 'catastrophe',"Aug 28, 2025"
Imran Khan's nephew sent on 14-day judicial remand in May 9 case,https://www.geo.tv/latest/620759-imran-khans-nephew-sent-on-14-day-judicial-remand-in-may-9-case,Imran Khan's nephew sent on 14-day judicial remand in May 9 case,"Aug 28, 2025"
Saeed Ghani's brother remand extended by three days in govt employee assault case,https://www.geo.tv/latest/620760-saeed-ghanis-brother-remand-extended-by-three-days-in-govt-employee-assault-case,Saeed Ghani's brother remand extended by three days in govt employee assault case,"Aug 28, 2025"
"Karachi's battered roads fuel traffic stress, leaving commuters mentally and physically drained",https://www.geo.tv/latest/620762-karachis-battered-roads-fuel-traffic-stress-leaving-commuters-mentally-and-physically-drained,"Karachi's battered roads fuel traffic stress, leaving commuters mentally and physically drained","Aug 28, 2025"
'Weaponisation of water': Pakistan assails India for releasing torrents from dams,https://www.geo.tv/latest/620744-weaponisation-of-water-pakistan-assails-india-for-releasing-torrents-from-dams,'Weaponisation of water': Pakistan assails India for releasing torrents from dams,"Aug 28, 2025"
WATCH: Punjab blows up dam embankment as it braces for flood surge,https://www.geo.tv/latest/620741-watch-punjab-blows-up-dam-embankment-as-it-braces-for-flood-surge,WATCH: Punjab blows up dam embankment as it braces for flood surge,"Aug 28, 2025"
